Pos1;Pos2;Neg;R1;R2;R3;R4;R5
baker;women;man;bakers;baking;seamstresses;bakeries;mothers
biologist;women;man;ecologist;wildlife_biologist;epidemiologist;nutritional_epidemiology;limnologist
bricklayer;women;man;tradeswomen;manual_laborers;embroiderers;masons_carpenters;bricklayers
driver;women;man;drivers;Deborah_Renshaw;Women;Sheilas_Wheels;mothers
butcher;women;man;butchers;butchery;hairdressers;womens;laundresses
caretaker;women;man;promote_gender_equality;womens;caretakers;Women;interim
carpenter;women;man;carpenters;tradeswomen;embroiderers;carpentry;sewing
cashier;women;man;cashiers;Women;male_counterparts;saleswomen;bra_fitters
cleaner;women;man;dirtier;male_counterparts;cookstoves;efficient_cookstoves;healthier
clown;women;man;clowns;skimpy_skirts;drag_queens;breast_augmentations;womens
cobbler;women;man;shirtwaists;embroiderers;cobblers;dressmakers;seamstresses
consultant;women;man;consultants;consulting_firm;board_certified_lactation;consultancy;consulting
cook;women;man;cooks;cooking;bake;cooked;bake_pies
counselor;women;man;counselors;counseling;batterer_intervention;licensed_psychotherapist;Peer_Counselors
chef;women;man;chefs;pastry_chef;Chefs;Master_Chef;pastry_chefs
chemist;women;man;chemists;Rajesh_Balkrishnan;nutritional_epidemiology;Amelia_Arria;synthetic_musks
dancer;women;man;dancers;dance;ballerinas;belly_dancing;choreographers
decorator;women;man;interior_designers;interior_designer;decorators;Mario_Buatta;Kelly_Wearstler
dentist;women;man;dentists;ob_gyn;gynecologist;Ob_gyns;pediatric_dentists
designer;women;man;designers;lingerie_swimwear;prêt_porter;Designer;Sophie_Buhai
doctor;women;man;doctors;gynecologist;Ob_gyns;uncomplicated_pregnancies;gynecologists
dressmaker;women;man;dressmakers;shirtwaists;embroiderers;seamstresses;lingerie_swimwear
dustman;women;man;ladettes;equalities;headmistresses;womens;sewing_machinists
economist;women;man;chief_economist;economics_professor;sociologist;Economist;Chief_Economist
electrician;women;man;tradeswomen;welders;embroiderers;electricians;breadwinners
engineer;women;man;engineering;engineers;electrical_engineer;Engineer;mechanical_engineer
farmer;women;man;farmers;smallholder_farmers;farming;smallholders;nonfarmers
fireman;women;man;firemen;male_counterparts;womens;Women;mothers
fisherman;women;man;fishermen;fishers;fishing_boats;fishing;fisher
florist;women;man;florists;brides;bridal_salons;bridal;Serenata_Flowers
fruiterer;women;man;Fayreform;Women;womens;mums;Noni_B
gardener;women;man;gardeners;novice_gardeners;gardening;rosarians;avid_gardeners
hairdresser;women;man;hairdressers;salons;stylists;bra_fitters;beauticians
housewife;women;man;housewives;Women;mothers;husbands;workingwomen
hunter;women;man;hunters;womens;females;crossbow_hunters;bowhunters
jeweler;women;man;jewelers;bridal_jewelry;jewelery;jewelry;diamond_jewelery
journalist;women;man;journalists;Women_eNews;Women;Journalist;Journalists
judge;women;man;judges;appellate_judges;appeals_court;appellate_court;Judges
lawyer;women;man;lawyers;attorneys;attorney;Lawyers;counsels
librarian;women;man;Children_Librarian;reference_librarian;librarians;Librarian;Certified_Nurse_Midwife
mailman;women;man;postmen;moms;mothers;husbands;grandmoms
mechanic;women;man;electricians_plumbers_carpenters;husbands;mechanics;fitters;embroiderers
meteorologist;women;man;Meteorologist;forecaster;NWS_meteorologist;meterologist;Chief_Meteorologist
miner;women;man;miners;mines;mining;AngloGold_Ashanti;coal_miners
model;women;man;models;Models;casual_sportswear;Liya_Kebede;xenograft_mouse
monk;women;man;monks;Tenzin_Palmo;Buddhist_nuns;nuns;laywomen
nanny;women;man;nannies;mothers;moms;maternity_leave;au_pairs
nun;women;man;nuns;Women;convents;womens;Catholic_nun
nurse;women;man;nurses;registered_nurse;nurse_practitioner;midwifery;nurse_midwife
painter;women;man;painters;Berthe_Morisot;printmaker;printmakers;nudes
pharmacist;women;man;pharmacists;emergency_contraceptive_pills;nurse_practitioner;Certified_Nurse_Midwife;uncomplicated_pregnancies
photographer;women;man;photographers;photojournalists;photography;freelance_photographers;Gilles_Peress
physicist;women;man;physicists;radiobiology;sociologist;geochemist;Gmachl
plumber;women;man;plumbers;tradeswomen;plumbing;hairdressers;beauticians
politician;women;man;politicians;Women;parliamentarians;feminist;winnable_ridings
porter;women;man;porters;shirtwaists;Women;laundresses;portering
postman;women;man;postmen;womens;posties;male_counterparts;mothers
priest;women;man;priests;laywomen;clergy;ordained_deacons;bishops
professor;women;man;associate_professor;assistant_professor;sociology_professor;professor_emeritus;sociologist
programmer;women;man;programmers;coders;Sheri_Graner_Ray;Girl_Geek_Dinners;Avivah_Wittenberg_Cox
psychiatrist;women;man;psychiatrists;psychologist;clinical_psychologist;psychologists;perinatal_depression
psychologist;women;man;psychologists;clinical_psychologist;Psychologist;Psychologist_Dr;sociologist
receptionist;women;man;receptionists;Receptionists;Women;saleswomen;secretarial
researcher;women;man;Researcher;sociologist;Ph.D._MPH;researchers;Lead_researcher
sailor;women;man;sailors;Saskia_Clark;womens;Women;Elise_Rechichi
salesman;women;man;saleswomen;salesmen;saleswoman;salespeople;salespersons
scientist;women;man;researcher;sociologist;Researcher;scientists;researchers
secretary;women;man;secretaries;Secretary;undersecretary;NUTP_secretary;chairperson
shoemaker;women;man;sportswear;footwear;activewear;casual_sportswear;embroiderers
singer;women;man;singers;songstresses;songstress;female_vocalists;actresses
sportsman;women;man;sportsmen;womens;sportswomen;sportspeople;sportswoman
surgeon;women;man;surgeons;plastic_surgeons;orthopaedists;urogynecology;gynecologic
teacher;women;man;teachers;students;WAIT_Training;paraeducator;girls
vet;women;man;vets;veterinarians;vet_techs;womens;Vets
waiter;women;man;waiters;waitresses;waitstaff;waitress;hostessing
waitress;women;man;waitresses;hostessing;waitressing;mothers;Women
writer;women;man;writers;writer_mkovak@observer-reporter.com;Jeff_Coplon;Feminine_Mistake;Shari_Roan
red;women;man;pink;yellow;wraparound_skirts;bandeau_tops;purple
orange;women;man;pink;brightly_colored_T_shirts;womens;participant_LOGIN;bandeau_tops
yellow;women;man;pink;brightly_colored_T_shirts;bandeau_tops;wraparound_skirts;red
pink;women;man;dresses_skirts;wraparound_skirts;bandeau_tops;brightly_colored_T_shirts;satin_sashes
fuchsia;women;man;dresses_skirts;tiered_skirts;satin_dresses;peep_toe_pumps;gypsy_skirts
violet;women;man;tiered_skirts;fuchsia;reds_pinks;dresses_skirts;pale_peach
blue;women;man;pink;bandeau_tops;khaki_bottoms;purple;brightly_colored_T_shirts
navy;women;man;armed_forces;naval;DACOWITS;womens;naval_ships
lime;women;man;Lipsticks;lime_juice;exfoliants;cocoa_powder;bronzers
green;women;man;womens;Women;slimmer_silhouettes;gender_equality;Europe_Ecologie_grouping
olive;women;man;Women;wraparound_skirts;pomegranate;olives;chadors
brown;women;man;wraparound_skirts;pink;bandeau_tops;dresses_skirts;browns_grays
silver;women;man;gold;womens;Teenager_Lara_Gut;Cuba_Yipsi_Moreno;Women
gray;women;man;strappy_tops;tiered_skirts;dresses_skirts;blouses_skirts;chadors
black;women;man;nonblack;white;blacks;nonwhite;Women
ivory;women;man;elephant_ivory;Burmese_rubies;womens;hair_removers_bleaches;rhinoceros_horns
white;women;man;black;whites;Nonwhite;nonblack;caucasians
king;mother;father;queen;monarch;kings;princess;queens
good;mother;father;bad;nice;great;decent;terrific
kind;mother;father;sort;really;type;itchy_Sakleh;shocked_Leskoven
bad;mother;father;horrible;terrible;good;lousy;Bad
worst;mother;father;weakest;scariest;ugliest;Worst;horrible
flirt;mother;father;flirting;flirts;flirtatious;fake_orgasms;canoodle
womanizer;mother;father;floozy;nymphomaniac;philanderer;golddigger;divorcee
boss;mother;father;bosses;MICKY_ADAMS;SAM_ALLARDYCE;boss_Mick_Wadsworth;owner_Pearse_Flynn
father;mother;father;daughter;grandmother;aunt;niece;son
grandfather;mother;father;grandmother;aunt;granddaughter;niece;maternal_grandmother
uncle;mother;father;aunt;grandmother;niece;daughter;sister
brother;mother;father;sister;daughter;aunt;niece;cousin
nephew;mother;father;niece;daughter;aunt;granddaughter;grandmother
husband;mother;father;wife;daughter;boyfriend;fiance;fiancé
cousin;mother;father;aunt;niece;sister;grandmother;daughter
grandson;mother;father;granddaughter;niece;grandmother;daughter;aunt
son;mother;father;daughter;niece;granddaughter;grandmother;aunt
brave;mother;father;courageous;bravely;bravest;brave_souls;valiant
bright;mother;father;brighter;brighten;frosted_blond_hair;Plaxico_Rosenhaus;thing_Swistel
busy;mother;father;hectic;Busy;busier;hectic_schedule;stressful
calm;mother;father;Calm;calmed;calming;quiet;calmer
cheap;mother;father;Cheap;inexpensive;cheep;cheaper;relatively_inexpensive
clever;mother;father;ingenious;cheeky;Clever;inventive;cleverly
smart;mother;father;intelligent;dumb;Sarah_Estrella_Sexy;Estrella_Meet;economic_certainty_Kracmer
intelligent;mother;father;wheelchair_TAO;smart;Telkonet_SmartEnergy_TSE;intellegent;creationism_repackaged
close;mother;father;closed;closing;toclose;Close;closer
far;mother;father;much;farther;so;yet;just
clumsy;mother;father;inelegant;clunky;clumsily;amateurish;eye_rollingly
cool;mother;father;toasty;toasty_warm;cooler;warm;black_formfitting_strapless
crazy;mother;father;mad;insane;weird;bonkers;freaking
creepy;mother;father;freaky;spooky;downright_creepy;rapey;creepily
cruel;mother;father;Lupit_Filipino_word;inhumane;frightful_bigotry;Eighth_Amendment_cruel;heartless
crunchy;mother;father;crispy;chewy;creamy;buttery;cinnamony
curvy;mother;father;curvaceous;Curvy;shapely;curvier;voluptuous
dark;mother;father;darkened;gray;pools_Niederauer;ghostly_glow;darker
bright;mother;father;brighter;brighten;frosted_blond_hair;Plaxico_Rosenhaus;thing_Swistel
dull;mother;father;boring;dreary;drab;ditchwater;bland
dumb;mother;father;stupid;dumb_dumb;Dumb_dumb;silly;dumb_ass
easy;mother;father;easier;simple;convenient;Easy;decision_Muaitau
fancy;mother;father;frou_frou;fancier;Fancy;snazzy;froufrou
slow;mother;father;Slow;slower;painfully_slow;slowed;slowing
fat;mother;father;fatty;Heart_clogging_trans;belly_fat;Redistribution_accumulation;unhealthy_fats
firm;mother;father;firms;Firm;company;LLP;consulting_firm
fit;mother;father;fits;complement;suited;fits_perfectly;Dillon_Behr
fresh;mother;father;freshest;Fresh;fresher;Suleman_implanting;baked_muffins
friendly;mother;father;freindly;friendliest;friendliness;anybody_Petney;Friendly
hairy;mother;father;veiny;furless;furry;pert_breasts;hairy_legs
happy;mother;father;glad;ecstatic;overjoyed;Said_Hirschbeck;thankful
hard;mother;father;harder;tough;Hard;difficult;hardest
healthy;mother;father;heathy;healthier;healty;eating_nutritious_foods;eat_nutritious_foods
heavy;mother;father;Heavy;heavier;heaviest;hefty;HEAVY
high;mother;father;low;higher;High;lower;HIGH
hot;mother;father;Hot;CHEFS_Chefs;tranny_mess;hottest;hotter
sexy;mother;father;sassy;saucy;slutty;Sexy;voluptuous
sensual;mother;father;sensuous;sensuality;seductive;feminine;sensually
horny;mother;father;slutty;nubile;lesbo;sexy;nympho
hungry;mother;father;starving;famished;Felicie_Colin;Hungry;ravenous
icy;mother;father;frigid;snowy;wintry;icey;slushy
kind;mother;father;sort;really;type;itchy_Sakleh;shocked_Leskoven
large;mother;father;small;sizable;sizeable;Large;huge
lazy;mother;father;snots;PMS_ing;laziness;lazy_bums;lazy_unmotivated
light;mother;father;injuries_Fuellhardt;workers_differently_Corenthal;yellowish_glow;lights;Shabbos_candles
little;mother;father;bit;litte;wee_bit;teeny_bit;everything'sa
lonely;mother;father;loneliness;lonesome;dateless;husbandless;lonely_spinster
long;mother;father;short;longer;MSIM_strives;Long;loooong
lovely;mother;father;gorgeous;beautiful;delightful;fabulous;beautful
low;mother;father;high;Low;lower;lowest;higher
mad;mother;father;crazy;bonkers;stupid;ad_**_k;Anna_Beushausen
mean;mother;father;means;imply;necessitate;entail;necessarily
messy;mother;father;messier;humble_ketchup_packet;ugly;untidy;Messy
nasty;mother;father;ugly;vicious;downright_nasty;nastiest;catty
new;mother;father;newest;revamped;brand_spanking;thenew;NEW
nice;mother;father;lovely;wonderful;fabulous;nicer;good
noisy;mother;father;Noisy;loud;cacophonous;noise;boisterous
old;mother;father;yearold;girl;daughter;stepdaughter;niece
plain;mother;father;tastes_yucky;grouchy_irritable;GoHealth_Insurance_explains;GoHealthInsurance_explains_health;judicial_overreaching
polite;mother;father;everybody_Pendergrast;courteous;rude;mannerly;impolite
poor;mother;father;poorer;poorest;student_Abu_Fatmah;pitiful;abysmal
pretty;mother;father;pretty_darn;Pretty;very;awfully;fairly
handsome;mother;father;gorgeous;plump;hazel_eyed;vivacious;blonde
proud;mother;father;immensely_proud;thrilled;grateful;pleased;delighted
pure;mother;father;pure_unadulterated;unadulterated;purest;sheer_unadulterated;purest_form
quick;mother;father;swift;easy;speedy;fast;rapid
rare;mother;father;rare_occurrence;exceedingly_rare;rarer;Rare;rarest
rich;mother;father;friend_Francie_Vos;Melamine_nitrogen;richer;Scicasts_Resource_Library;Autonomy_Virage_visionary
risky;mother;father;riskier;Risky;riskiest;risk;dangerous
roomy;mother;father;surprisingly_roomy;spacious;roomy_interior;generously_sized;generously_proportioned
rude;mother;father;downright_rude;impolite;vulgar;discourteous;rudeness
sad;mother;father;heartbreaking;saddening;Turkoman_Shiites;parishioner_Pat_Patello;Sad
safe;mother;father;safer;safest;Albain_stressed;safely;Safe
salty;mother;father;sweet_tang;salty_spicy;salty_tang;saltier;pleasantly_spicy
sane;mother;father;sane_rational;rational;sanest;insane;openminded
scary;mother;father;frightening;terrifying;Jennifer_Wickwire;freaky;horrifying
shallow;mother;father;Kurt_Suzuki_blooped;Bengie_Molina_blooped;shallower;Jack_Hannahan_blooped;Dioner_Navarro_flied
shiny;mother;father;sparkly;shiney;pink;sleek;gleaming
short;mother;father;Short;long;shorter;WEGENER_focuses;Callidus_SPM_software
shy;mother;father;Tayseer_matchmaker_Nisrin_Khalil;bashful;compromisers_remained;Dutch_cyclist_Joop;timid
silly;mother;father;stupid;ridiculous;daft;cute;dumb
simple;mother;father;Simple;straightforward;simplest;uncomplicated;easy
sincere;mother;father;heartfelt;sincerely;sincerity;insincere;compassionate
sleepy;mother;father;sleepier;somnolent;Smithland_Ky._residents;drowsy;tranquil
slim;mother;father;slender;slimmer;HP_Compaq_dc####_Ultra;slimmest;thin
slimy;mother;father;slimey;yucky;slime;goopy;wriggly
slow;mother;father;Slow;slower;painfully_slow;slowed;slowing
small;mother;father;tiny;large;medium_sized;Small;smaller
smart;mother;father;intelligent;dumb;Sarah_Estrella_Sexy;Estrella_Meet;economic_certainty_Kracmer
smelly;mother;father;stinky;foul_smelling;yucky;dirty_smelly;rotting_seaweed
smooth;mother;father;smoothly;smoother;smoothest;smoothness;smoothing
soft;mother;father;softer;softest;squishy;cushiony;Soft
stingy;mother;father;stingiest;stingier;Stingy;downright_stingy;stingy_defense
strange;mother;father;weird;peculiar;bizarre;odd;freaky
strict;mother;father;stringent;stricter;Strict;widely_flouted;strictest
strong;mother;father;solid;robust;stong;weak;stronger
sunny;mother;father;sunshine;balmy;sunshiny;seasonably_warm;breezy
tasty;mother;father;delicious;yummy;scrumptious;delectable;flavorful
thin;mother;father;Thin;film_amorphous_photovoltaics;thinner;frontcourt_precariously;wafer_thin
tiny;mother;father;teeny;small;teeny_tiny;teensy;tiniest
ugly;mother;father;uglier;nasty;hideous;awful;horrible
warm;mother;father;Warm;chilly;warmth;toasty_warm;toasty
weak;mother;father;weaker;Weak;weakness;weakening;sluggish
weird;mother;father;freaky;strange;scary;kinda_weird;crazy
wet;mother;father;dry;wet_weather;soggy;damp;Wet
wide;mother;father;across;wider;widest;fizzed_narrowly;broad
narrow;mother;father;narrowing;narrowest;Narrow;narrower;narrowness
wild;mother;father;type_KRAS_mCRC;type_KRAS_tumors;feral;Kopitar_backhanded;Black_footed_ferrets
windy;mother;father;gusty;windy_conditions;blowy;sunny;chilly
wise;mother;father;wisest;foolish;good;sensible;skinny_minnie
worldly;mother;father;wordly;earthly;fleshly;worldliness;materialistic
young;mother;father;By_Yoon_Ja;By_Soh_Ji;teenage;teenagers;Greta_Bendl
accountant;mother;father;bookkeeper;auditor;tax_preparer;paralegal;accountants
hostess;mother;father;waitress;hostesses;mostess;stewardess;hostessing
archaeologist;mother;father;archeologist;Archaeologist;anthropologist;archaeological;Egyptologist
architect;mother;father;architects;interior_designer;Architect;landscape_architect;architectural
astronaut;mother;father;astronauts;NASA_astronaut;Astronaut;space_shuttle;Nasa_astronaut
baker;mother;father;cake_decorator;bakery;bakers;baking;cookie_baker
biologist;mother;father;ecologist;wildlife_biologist;Biologist;marine_biologist;biologists
bricklayer;mother;father;roofer;plasterer;carpenter;housecleaner;beautician
driver;mother;father;drivers;motorist;bicyclist;moped_rider;passenger
butcher;mother;father;butchers;butcher_shop;fishmonger;baker;butchery
caretaker;mother;father;Caretaker;caretakers;caregiver;Elka_Ostrovsky;caretaking
carpenter;mother;father;roofer;welder;seamstress;woodworker;stone_mason
cashier;mother;father;cashiers;waitress;teller;clerk;receptionist
cleaner;mother;father;cleaner_greener;dirtier;clean;Cleaner;environmentally_friendlier
clown;mother;father;clowns;Clown;drag_queen;kitty_cat;clown_costume
cobbler;mother;father;cobblers;lemon_squares;dressmaker;mandazi;baker
consultant;mother;father;consulting_firm;consultants;Consultant;consultancy;expert
cook;mother;father;cooking;cooks;cooked;bake_pies;stir_fry
counselor;mother;father;counselors;guidance_counselor;therapist;counseling;caseworker
chef;mother;father;pastry_chef;chefs;Chef;sous_chef;Michelin_starred_chef
chemist;mother;father;chemists;biochemist;analytical_chemist;microbiologist;pharmacologist
dancer;mother;father;dancers;ballerina;belly_dancer;dance;ballet_dancer
decorator;mother;father;interior_designer;interior_decorator;decorators;decorating;stylist
dentist;mother;father;dental_hygienist;orthodontist;pediatric_dentist;hygienist;periodontist
designer;mother;father;Designer;designers;fashion_designer;interior_designer;Francesca_Pepe
doctor;mother;father;nurse;doctors;gynecologist;physician;nurse_practitioner
dressmaker;mother;father;seamstress;milliner;seamstresses;quilter;accomplished_seamstress
dustman;mother;father;binman;childminder;pensioner;pub_landlady;YOUNG_mum
economist;mother;father;chief_economist;Economist;Chief_Economist;macroeconomist;economics_professor
electrician;mother;father;welder;roofer;beautician;tree_trimmer;pipe_fitter
