Pos1;Pos2;Neg;R1;R2;R3;R4;R5
pure;women;man;('pure_unadulterated', 0.4056156277656555);('sexual_objectification', 0.3844311237335205);('objectification', 0.38243573904037476);('mammograms_Mikulski', 0.37946391105651855);('purity', 0.37741509079933167)
quick;women;man;('womens', 0.4109533429145813);('Women', 0.3925650417804718);('easy', 0.37226009368896484);('swift', 0.36727064847946167);('delaying_childbirth', 0.3631443679332733)
rare;women;man;('exceedingly_rare', 0.47207221388816833);('rarer', 0.4551416039466858);('uncommon', 0.419524222612381);('unheard', 0.41796064376831055);('rarity', 0.4091333746910095)
rich;women;man;('economically_advantaged', 0.4468374252319336);('grossly_underrepresented', 0.4226025342941284);('socioeconomic_strata', 0.41920384764671326);('workingwomen', 0.4179403781890869);('unequally_distributed', 0.4121667444705963)
risky;women;man;('riskier', 0.5542778968811035);('Women', 0.4232761859893799);('suppressing_menstruation', 0.42249220609664917);('abnormal_mammograms', 0.4204937815666199);('prophylactic_mastectomies', 0.4169544279575348)
roomy;women;man;('spacious', 0.484732985496521);('roomier', 0.4750746488571167);('rear_legroom', 0.4663116931915283);('comfy', 0.46360456943511963);('upholstered_sofas', 0.45489776134490967)
rude;women;man;('sexist', 0.517413854598999);('demeaning', 0.47704845666885376);('overtly_sexist', 0.47083187103271484);('sexually_objectifying', 0.46377119421958923);('impolite', 0.4610637128353119)
sad;women;man;('saddening', 0.5211165547370911);('disheartening', 0.4947030544281006);('distressing', 0.48711130023002625);('heartbreaking', 0.44362765550613403);('depressing', 0.43978291749954224)
safe;women;man;('safer', 0.4818978011608124);('Albain_stressed', 0.45380938053131104);('uncomplicated_pregnancies', 0.43966057896614075);('unsafe', 0.41498711705207825);('safeness', 0.3965015411376953)
salty;women;man;('fatty_sugary', 0.4229620695114136);('smoking_hookahs', 0.4145592749118805);('trickled_saline', 0.4093397557735443);('Women', 0.40548941493034363);('fatty_salty', 0.4054384231567383)
sane;women;man;('terminate_unwanted_pregnancies', 0.4523112177848816);('supermoms', 0.43570226430892944);('Unplanned_pregnancies', 0.4144730269908905);('undergone_hysterectomies', 0.4117932617664337);('dress_scantily', 0.4108090400695801)
scary;women;man;('frightening', 0.5279911160469055);('abnormal_mammograms', 0.431325763463974);('horrifying', 0.4293787479400635);('terrifying', 0.426883339881897);('worrisome', 0.42249804735183716)
shallow;women;man;('shallower', 0.47377556562423706);('Kurt_Suzuki_blooped', 0.43479424715042114);('womens', 0.4087214767932892);('Ryan_Klesko_chopped', 0.4080745577812195);('Women', 0.40252411365509033)
shiny;women;man;('bandeau_tops', 0.469952791929245);('strapless_bras', 0.46499311923980713);('sparkly', 0.45644497871398926);('skimpy_skirts', 0.45497751235961914);('seamed_stockings', 0.45117032527923584)
short;women;man;('Women', 0.41607269644737244);"(""women's"", 0.40062057971954346)";('womens', 0.38918524980545044);('Short', 0.38323652744293213);('shorter', 0.3830938935279846)
shy;women;man;('Women', 0.4103471040725708);"(""women's"", 0.40066444873809814)";('Postpartum_depression_affects', 0.3956909775733948);('male_counterparts', 0.3853924572467804);('gender_parity', 0.37733447551727295)
silly;women;man;('ridiculous', 0.48526984453201294);('girly', 0.4827560782432556);('overtly_sexist', 0.47053009271621704);('sexual_objectification', 0.46324437856674194);('sexually_objectifying', 0.46188783645629883)
simple;women;man;('straightforward', 0.453657865524292);('Simple', 0.43700864911079407);('mammograms_Mikulski', 0.4199069142341614);('practical', 0.4147578179836273);('delaying_childbirth', 0.4009817838668823)
sincere;women;man;('sincerely', 0.4335287809371948);('sisterly', 0.4098668694496155);('gender_equality', 0.40769416093826294);('LBGTQ', 0.3986676335334778);('Ambassador_Verveer', 0.39602136611938477)
sleepy;women;man;('sleepier', 0.46599528193473816);('Women', 0.41259855031967163);('skimpily_dressed', 0.3899323344230652);('mothers', 0.3836524784564972);('workingwomen', 0.37809914350509644)
slim;women;man;('Women', 0.4437626898288727);('slimmer', 0.43540775775909424);('womens', 0.42715543508529663);('slender', 0.4247269034385681);('grossly_underrepresented', 0.40402814745903015)
slimy;women;man;('icky', 0.43238210678100586);('hyper_sexualized', 0.42925167083740234);('vulvas', 0.4189213514328003);('overtly_sexist', 0.41805022954940796);('sexual_objectification', 0.4156879782676697)
slow;women;man;('slower', 0.47504723072052);('Slow', 0.4479480981826782);('slowed', 0.4146755039691925);('Women', 0.41419798135757446);('sluggish', 0.41218143701553345)
small;women;man;('large', 0.5007835626602173);('smaller', 0.4784041941165924);('tiny', 0.4548875093460083);('medium_sized', 0.4463673233985901);('Small', 0.44024622440338135)
smart;women;man;('womens', 0.40441370010375977);('Differentiate_yourself', 0.384570837020874);('mompreneurs', 0.3764078617095947);('Contraceptive_pills', 0.37554389238357544);('Women', 0.37368297576904297)
smelly;women;man;('stinky', 0.4751438796520233);('unhygenic', 0.4574977457523346);('underarm_sweat', 0.4396175742149353);('smoking_hookahs', 0.4335628151893616);('skimpy_skirts', 0.42469125986099243)
smooth;women;man;('smoother', 0.45543068647384644);('smoothly', 0.42201918363571167);('smoothen', 0.41536444425582886);('smoothing', 0.414221853017807);('smooth_transitions', 0.401309609413147)
soft;women;man;('softer', 0.4716953933238983);('womens', 0.4218360185623169);('Women', 0.4174521565437317);('tiered_skirts', 0.39308226108551025);('bandeau_tops', 0.38627952337265015)
stingy;women;man;('male_counterparts', 0.4262711703777313);('Women', 0.41923975944519043);('stingier', 0.41317248344421387);('stingiest', 0.41034260392189026);('womens', 0.37601861357688904)
strange;women;man;('peculiar', 0.4675183892250061);('weird', 0.4646419882774353);('disconcerting', 0.463824987411499);('surprising', 0.4539579153060913);('odd', 0.4435023367404938)
strict;women;man;('stringent', 0.503138542175293);('widely_flouted', 0.4705298840999603);('strictly_enforced', 0.45029130578041077);('wear_hijabs', 0.42838752269744873);('stricter', 0.42812877893447876)
strong;women;man;('womens', 0.43891656398773193);('stronger', 0.4369620978832245);('strongest', 0.42765945196151733);('robust', 0.4218626618385315);('solid', 0.41650301218032837)
sunny;women;man;('sunny_afternoons', 0.46451544761657715);('sunshine', 0.4636119604110718);('sunny_skies', 0.45183947682380676);('Women', 0.44521692395210266);('breezy', 0.44150999188423157)
tasty;women;man;('delicious', 0.5743433237075806);('yummy', 0.5372393131256104);('scrumptious', 0.5241928100585938);('scrumptious_dishes', 0.5154339075088501);('scrumptious_desserts', 0.5013673901557922)
thin;women;man;('Thin', 0.4799867570400238);('wafer_thin', 0.46600276231765747);('thinner', 0.4299390912055969);('bandeau_tops', 0.4217643737792969);('ultra_thin', 0.41281241178512573)
tiny;women;man;('small', 0.5153123140335083);('minuscule', 0.4933459758758545);('teeny_tiny', 0.47327613830566406);('tiniest', 0.4679979681968689);('teeny', 0.46369805932044983)
ugly;women;man;('womens', 0.4553534984588623);('overtly_sexist', 0.44222354888916016);('sexual_objectification', 0.4330329895019531);('uglier', 0.42584842443466187);('Women', 0.4165709316730499)
warm;women;man;('Warm', 0.4446047842502594);('Women', 0.4354492425918579);('toasty', 0.4220185875892639);('womens', 0.41756772994995117);('chilly', 0.40506985783576965)
weak;women;man;('weaker', 0.5342899560928345);('weakening', 0.44011592864990234);('Weak', 0.43073511123657227);('womens', 0.417597234249115);('weakness', 0.41446322202682495)
weird;women;man;('sexual_objectification', 0.47329288721084595);('girly', 0.4732164740562439);('sensual_beings', 0.46499913930892944);('kinkier', 0.4638943076133728);('icky', 0.45564061403274536)
wet;women;man;('open_toed_shoes', 0.44634321331977844);('wetness', 0.4449712038040161);('dry', 0.43442481756210327);('wet_weather', 0.4327612519264221);('womens', 0.4306756854057312)
wide;women;man;('wider', 0.4227178692817688);('womens', 0.4037044942378998);('widest', 0.3986925184726715);('gender_equality', 0.3694715201854706);"(""women's"", 0.36579805612564087)"
narrow;women;man;('Narrow', 0.4261322617530823);('narrowing', 0.4201434850692749);('womens', 0.4150230288505554);('narrowest', 0.4026387333869934);('narrower', 0.3941531777381897)
wild;women;man;('females', 0.41006946563720703);('type_KRAS_mCRC', 0.40130454301834106);('sexual_objectification', 0.400360107421875);('undergone_FGM', 0.39489054679870605);('type_KRAS_tumors', 0.39040547609329224)
windy;women;man;('windy_conditions', 0.5085524320602417);('gusty', 0.4588196873664856);('windier', 0.44330182671546936);('sunny_breezy', 0.44213318824768066);('hot_muggy', 0.4410649538040161)
wise;women;man;('Women', 0.4234768748283386);('womens', 0.4060059189796448);('Neena_Chaudhry', 0.39695072174072266);('Neena_Chaudhry_senior', 0.39378276467323303);('grossly_underrepresented', 0.3893159031867981)
worldly;women;man;('stereotypically_feminine', 0.46155041456222534);('patriarchal_societies', 0.44618481397628784);('feminine', 0.4389510154724121);('sexual_objectification', 0.4238590896129608);('monogamous_marriages', 0.42231348156929016)
young;women;man;('undergone_FGM', 0.5185364484786987);('mothers', 0.49882015585899353);('delaying_childbirth', 0.4958683252334595);('younger', 0.48997247219085693);('wore_hoop_skirts', 0.4897899031639099)
accountant;women;man;('accountants', 0.4858696162700653);('bra_fitters', 0.4395406246185303);('CPAs', 0.4319731295108795);('CPA', 0.42638275027275085);('Women', 0.4199219346046448)
hostess;women;man;('hostesses', 0.5971585512161255);('hostessing', 0.5232333540916443);('Women', 0.4875223636627197);('mostess', 0.4825358986854553);('Hostesses', 0.46753305196762085)
archaeologist;women;man;('archeologist', 0.5545793175697327);('archaeologists', 0.49214059114456177);('Archaeologist', 0.4878504276275635);('archeology', 0.48506009578704834);('archaeological', 0.47475647926330566)
architect;women;man;('architects', 0.5798183679580688);('Architects', 0.4898538291454315);('architectural', 0.46184515953063965);('Cesar_Pelli', 0.4485965371131897);('Stefanos_Polyzoides', 0.4443001449108124)
astronaut;women;man;('astronauts', 0.5479627847671509);('NASA_astronaut_corps', 0.47696220874786377);('Rhea_Seddon', 0.4732767343521118);('spaceflight', 0.46240776777267456);('Astronaut', 0.46155858039855957)
baker;women;man;('bakers', 0.5375398397445679);('baking', 0.47502171993255615);('seamstresses', 0.45276355743408203);('bakeries', 0.4443832337856293);('mothers', 0.44157013297080994)
biologist;women;man;('ecologist', 0.5204583406448364);('wildlife_biologist', 0.4841238856315613);('epidemiologist', 0.47508326172828674);('nutritional_epidemiology', 0.472017765045166);('limnologist', 0.4717540442943573)
bricklayer;women;man;('tradeswomen', 0.4793589115142822);('manual_laborers', 0.45704707503318787);('embroiderers', 0.4440705478191376);('masons_carpenters', 0.4319887161254883);('bricklayers', 0.42959848046302795)
driver;women;man;('drivers', 0.5868853330612183);('Deborah_Renshaw', 0.4379045069217682);('Women', 0.4277385473251343);('Sheilas_Wheels', 0.40340614318847656);('mothers', 0.4003235101699829)
butcher;women;man;('butchers', 0.5212669968605042);('butchery', 0.42357683181762695);('hairdressers', 0.41620153188705444);('womens', 0.4152718186378479);('laundresses', 0.40680837631225586)
caretaker;women;man;('promote_gender_equality', 0.4396562874317169);('womens', 0.4362807273864746);('caretakers', 0.4246540665626526);('Women', 0.42218446731567383);('interim', 0.4118505120277405)
carpenter;women;man;('carpenters', 0.5000907182693481);('tradeswomen', 0.49993181228637695);('embroiderers', 0.49563664197921753);('carpentry', 0.4886789321899414);('sewing', 0.47668221592903137)
cashier;women;man;('cashiers', 0.5602832436561584);('Women', 0.47667646408081055);('male_counterparts', 0.46045148372650146);('saleswomen', 0.4483463168144226);('bra_fitters', 0.4439058303833008)
cleaner;women;man;('dirtier', 0.44909918308258057);('male_counterparts', 0.43746545910835266);('cookstoves', 0.41077300906181335);('efficient_cookstoves', 0.40957459807395935);('healthier', 0.3998916745185852)
clown;women;man;('clowns', 0.5168039798736572);('skimpy_skirts', 0.4706481695175171);('drag_queens', 0.4417850971221924);('breast_augmentations', 0.4377463459968567);('womens', 0.4356338381767273)
cobbler;women;man;('shirtwaists', 0.4834546744823456);('embroiderers', 0.48320549726486206);('cobblers', 0.4605104923248291);('dressmakers', 0.4559791684150696);('seamstresses', 0.4534463584423065)
consultant;women;man;('consultants', 0.5115341544151306);('consulting_firm', 0.4693140983581543);('board_certified_lactation', 0.4384564757347107);('consultancy', 0.438141405582428);('consulting', 0.43032848834991455)
cook;women;man;('cooks', 0.5323138236999512);('cooking', 0.5146380662918091);('bake', 0.49554669857025146);('cooked', 0.4837457239627838);('bake_pies', 0.4688156247138977)
counselor;women;man;('counselors', 0.580954909324646);('counseling', 0.5096925497055054);('batterer_intervention', 0.46771419048309326);('licensed_psychotherapist', 0.4658864736557007);('Peer_Counselors', 0.46572625637054443)
chef;women;man;('chefs', 0.5980719327926636);('pastry_chef', 0.5024522542953491);('Chefs', 0.4928193986415863);('Master_Chef', 0.488958477973938);('pastry_chefs', 0.48529931902885437)
chemist;women;man;('chemists', 0.5355817079544067);('Rajesh_Balkrishnan', 0.48153549432754517);('nutritional_epidemiology', 0.42440590262413025);('Amelia_Arria', 0.4144749641418457);('synthetic_musks', 0.41430941224098206)
dancer;women;man;('dancers', 0.6571969389915466);('dance', 0.5233461260795593);('ballerinas', 0.5102174282073975);('belly_dancing', 0.5062780380249023);('choreographers', 0.48987215757369995)
