Pos1;Pos2;Neg;Resoult;Word;Distance
hairy;women;man;[('vulvas', 0.46299663186073303)];vulvas;0.462996631860733
happy;women;man;[('thrilled', 0.4444049596786499)];thrilled;0.4444049596786499
hard;women;man;[('harder', 0.4848807454109192)];harder;0.4848807454109192
healthy;women;man;[('uncomplicated_pregnancies', 0.5398788452148438)];uncomplicated_pregnancies;0.5398788452148438
heavy;women;man;[('Heavy', 0.4564833343029022)];Heavy;0.4564833343029022
high;women;man;[('low', 0.479550302028656)];low;0.479550302028656
hot;women;man;[('Hot', 0.4509659707546234)];Hot;0.4509659707546234
sexy;women;man;[('feminine', 0.5435336828231812)];feminine;0.5435336828231812
sensual;women;man;[('sensuous', 0.5956243872642517)];sensuous;0.5956243872642517
horny;women;man;[('butches', 0.500370979309082)];butches;0.500370979309082
hungry;women;man;[('poorly_nourished', 0.43537527322769165)];poorly_nourished;0.4353752732276917
icy;women;man;"[(""Women's"", 0.4255205988883972)]";Women's;0.4255205988883972
kind;women;man;[('sort', 0.4731917381286621)];sort;0.4731917381286621
large;women;man;[('sizable', 0.5170886516571045)];sizable;0.5170886516571045
lazy;women;man;[('sexual_objectification', 0.4536805748939514)];sexual_objectification;0.4536805748939514
light;women;man;[('melatonin_suppression', 0.40134596824645996)];melatonin_suppression;0.40134596824646
little;women;man;[('bit', 0.44797730445861816)];bit;0.44797730445861816
lonely;women;man;[('mothers', 0.4664490222930908)];mothers;0.4664490222930908
long;women;man;[('Women', 0.40358656644821167)];Women;0.4035865664482117
lovely;women;man;[('gorgeous', 0.5368950366973877)];gorgeous;0.5368950366973877
low;women;man;[('high', 0.4921168088912964)];high;0.4921168088912964
mad;women;man;[('womens', 0.45221656560897827)];womens;0.4522165656089783
mean;women;man;[('imply', 0.44539809226989746)];imply;0.4453980922698975
messy;women;man;[('messier', 0.4622083008289337)];messier;0.4622083008289337
nasty;women;man;[('overtly_sexist', 0.4711242914199829)];overtly_sexist;0.4711242914199829
new;women;man;[('thenew', 0.4246845245361328)];thenew;0.4246845245361328
nice;women;man;[('fabulous', 0.44190940260887146)];fabulous;0.44190940260887146
noisy;women;man;[('mothers_grandmothers_aunts', 0.4245501756668091)];mothers_grandmothers_aunts;0.4245501756668091
old;women;man;[('undergone_FGM', 0.46769237518310547)];undergone_FGM;0.4676923751831055
plain;women;man;[('wraparound_skirts', 0.40983468294143677)];wraparound_skirts;0.4098346829414368
polite;women;man;[('aunts_grandmothers', 0.4481329917907715)];aunts_grandmothers;0.4481329917907715
poor;women;man;[('poorer', 0.4909910559654236)];poorer;0.4909910559654236
pretty;women;man;[('pretty_darn', 0.5007816553115845)];pretty_darn;0.5007816553115845
handsome;women;man;[('shapely', 0.4567106366157532)];shapely;0.4567106366157532
proud;women;man;[('immensely_proud', 0.5047781467437744)];immensely_proud;0.5047781467437744
pure;women;man;[('pure_unadulterated', 0.4056156277656555)];pure_unadulterated;0.4056156277656555
quick;women;man;[('womens', 0.4109533429145813)];womens;0.4109533429145813
rare;women;man;[('exceedingly_rare', 0.47207221388816833)];exceedingly_rare;0.4720722138881683
rich;women;man;[('economically_advantaged', 0.4468374252319336)];economically_advantaged;0.4468374252319336
risky;women;man;[('riskier', 0.5542778968811035)];riskier;0.5542778968811035
roomy;women;man;[('spacious', 0.484732985496521)];spacious;0.484732985496521
rude;women;man;[('sexist', 0.517413854598999)];sexist;0.5174138545989989
sad;women;man;[('saddening', 0.5211165547370911)];saddening;0.5211165547370911
safe;women;man;[('safer', 0.4818978011608124)];safer;0.4818978011608124
salty;women;man;[('fatty_sugary', 0.4229620695114136)];fatty_sugary;0.4229620695114136
sane;women;man;[('terminate_unwanted_pregnancies', 0.4523112177848816)];terminate_unwanted_pregnancies;0.4523112177848816
scary;women;man;[('frightening', 0.5279911160469055)];frightening;0.5279911160469055
shallow;women;man;[('shallower', 0.47377556562423706)];shallower;0.473775565624237
shiny;women;man;[('bandeau_tops', 0.469952791929245)];bandeau_tops;0.469952791929245
short;women;man;[('Women', 0.41607269644737244)];Women;0.4160726964473725
shy;women;man;[('Women', 0.4103471040725708)];Women;0.4103471040725708
silly;women;man;[('ridiculous', 0.48526984453201294)];ridiculous;0.485269844532013
simple;women;man;[('straightforward', 0.453657865524292)];straightforward;0.4536578655242921
sincere;women;man;[('sincerely', 0.4335287809371948)];sincerely;0.4335287809371948
sleepy;women;man;[('sleepier', 0.46599528193473816)];sleepier;0.4659952819347382
slim;women;man;[('Women', 0.4437626898288727)];Women;0.4437626898288727
slimy;women;man;[('icky', 0.43238210678100586)];icky;0.43238210678100586
slow;women;man;[('slower', 0.47504723072052)];slower;0.47504723072052
small;women;man;[('large', 0.5007835626602173)];large;0.5007835626602173
smart;women;man;[('womens', 0.40441370010375977)];womens;0.40441370010375977
smelly;women;man;[('stinky', 0.4751438796520233)];stinky;0.4751438796520233
smooth;women;man;[('smoother', 0.45543068647384644)];smoother;0.4554306864738464
soft;women;man;[('softer', 0.4716953933238983)];softer;0.4716953933238983
stingy;women;man;[('male_counterparts', 0.4262711703777313)];male_counterparts;0.4262711703777313
strange;women;man;[('peculiar', 0.4675183892250061)];peculiar;0.4675183892250061
strict;women;man;[('stringent', 0.503138542175293)];stringent;0.503138542175293
strong;women;man;[('womens', 0.43891656398773193)];womens;0.4389165639877319
sunny;women;man;[('sunny_afternoons', 0.46451544761657715)];sunny_afternoons;0.4645154476165772
tasty;women;man;[('delicious', 0.5743433237075806)];delicious;0.5743433237075806
thin;women;man;[('Thin', 0.4799867570400238)];Thin;0.4799867570400238
tiny;women;man;[('small', 0.5153123140335083)];small;0.5153123140335083
ugly;women;man;[('womens', 0.4553534984588623)];womens;0.4553534984588623
warm;women;man;[('Warm', 0.4446047842502594)];Warm;0.4446047842502594
weak;women;man;[('weaker', 0.5342899560928345)];weaker;0.5342899560928345
weird;women;man;[('sexual_objectification', 0.47329288721084595)];sexual_objectification;0.473292887210846
wet;women;man;[('open_toed_shoes', 0.44634321331977844)];open_toed_shoes;0.4463432133197784
wide;women;man;[('wider', 0.4227178692817688)];wider;0.4227178692817688
narrow;women;man;[('Narrow', 0.4261322617530823)];Narrow;0.4261322617530823
wild;women;man;[('females', 0.41006946563720703)];females;0.41006946563720703
windy;women;man;[('windy_conditions', 0.5085524320602417)];windy_conditions;0.5085524320602417
wise;women;man;[('Women', 0.4234768748283386)];Women;0.4234768748283386
worldly;women;man;[('stereotypically_feminine', 0.46155041456222534)];stereotypically_feminine;0.4615504145622253
young;women;man;[('undergone_FGM', 0.5185364484786987)];undergone_FGM;0.5185364484786987
accountant;women;man;[('accountants', 0.4858696162700653)];accountants;0.4858696162700653
hostess;women;man;[('hostesses', 0.5971585512161255)];hostesses;0.5971585512161255
archaeologist;women;man;[('archeologist', 0.5545793175697327)];archeologist;0.5545793175697327
architect;women;man;[('architects', 0.5798183679580688)];architects;0.5798183679580688
astronaut;women;man;[('astronauts', 0.5479627847671509)];astronauts;0.5479627847671509
baker;women;man;[('bakers', 0.5375398397445679)];bakers;0.5375398397445679
biologist;women;man;[('ecologist', 0.5204583406448364)];ecologist;0.5204583406448364
bricklayer;women;man;[('tradeswomen', 0.4793589115142822)];tradeswomen;0.4793589115142822
driver;women;man;[('drivers', 0.5868853330612183)];drivers;0.5868853330612183
butcher;women;man;[('butchers', 0.5212669968605042)];butchers;0.5212669968605042
caretaker;women;man;[('promote_gender_equality', 0.4396562874317169)];promote_gender_equality;0.4396562874317169
carpenter;women;man;[('carpenters', 0.5000907182693481)];carpenters;0.5000907182693481
cashier;women;man;[('cashiers', 0.5602832436561584)];cashiers;0.5602832436561584
cleaner;women;man;[('dirtier', 0.44909918308258057)];dirtier;0.44909918308258057
clown;women;man;[('clowns', 0.5168039798736572)];clowns;0.5168039798736572
cobbler;women;man;[('shirtwaists', 0.4834546744823456)];shirtwaists;0.4834546744823456
consultant;women;man;[('consultants', 0.5115341544151306)];consultants;0.5115341544151306
cook;women;man;[('cooks', 0.5323138236999512)];cooks;0.5323138236999512
counselor;women;man;[('counselors', 0.580954909324646)];counselors;0.580954909324646
chef;women;man;[('chefs', 0.5980719327926636)];chefs;0.5980719327926636
chemist;women;man;[('chemists', 0.5355817079544067)];chemists;0.5355817079544067
dancer;women;man;[('dancers', 0.6571969389915466)];dancers;0.6571969389915466
decorator;women;man;[('interior_designers', 0.4970838725566864)];interior_designers;0.4970838725566864
dentist;women;man;[('dentists', 0.5705243945121765)];dentists;0.5705243945121765
designer;women;man;[('designers', 0.6117461919784546)];designers;0.6117461919784546
doctor;women;man;[('doctors', 0.5941444635391235)];doctors;0.5941444635391235
dressmaker;women;man;[('dressmakers', 0.5189229249954224)];dressmakers;0.5189229249954224
dustman;women;man;[('ladettes', 0.4484555125236511)];ladettes;0.4484555125236511
economist;women;man;[('chief_economist', 0.5413417220115662)];chief_economist;0.5413417220115662
electrician;women;man;[('tradeswomen', 0.4757065773010254)];tradeswomen;0.4757065773010254
engineer;women;man;[('engineering', 0.48898962140083313)];engineering;0.4889896214008331
farmer;women;man;[('farmers', 0.6389466524124146)];farmers;0.6389466524124146
fireman;women;man;[('firemen', 0.5003980398178101)];firemen;0.5003980398178101
fisherman;women;man;[('fishermen', 0.6105375289916992)];fishermen;0.6105375289916992
florist;women;man;[('florists', 0.5251835584640503)];florists;0.5251835584640503
fruiterer;women;man;[('Fayreform', 0.4750351905822754)];Fayreform;0.4750351905822754
gardener;women;man;[('gardeners', 0.6030939817428589)];gardeners;0.6030939817428589
hairdresser;women;man;[('hairdressers', 0.6309242248535156)];hairdressers;0.6309242248535156
housewife;women;man;[('housewives', 0.5476226806640625)];housewives;0.5476226806640625
hunter;women;man;[('hunters', 0.5366790890693665)];hunters;0.5366790890693665
jeweler;women;man;[('jewelers', 0.5899244546890259)];jewelers;0.5899244546890259
journalist;women;man;[('journalists', 0.5585271120071411)];journalists;0.5585271120071411
judge;women;man;[('judges', 0.5394177436828613)];judges;0.5394177436828613
lawyer;women;man;[('lawyers', 0.6034033298492432)];lawyers;0.6034033298492432
librarian;women;man;[('Children_Librarian', 0.5043785572052002)];Children_Librarian;0.5043785572052002
mailman;women;man;[('postmen', 0.44114428758621216)];postmen;0.44114428758621216
mechanic;women;man;[('electricians_plumbers_carpenters', 0.40108925104141235)];electricians_plumbers_carpenters;0.4010892510414124
meteorologist;women;man;[('Meteorologist', 0.5212211608886719)];Meteorologist;0.5212211608886719
miner;women;man;[('miners', 0.5611620545387268)];miners;0.5611620545387268
model;women;man;[('models', 0.6180213689804077)];models;0.6180213689804077
monk;women;man;[('monks', 0.5733097195625305)];monks;0.5733097195625305
nanny;women;man;[('nannies', 0.5715190768241882)];nannies;0.5715190768241882
nun;women;man;[('nuns', 0.5710062980651855)];nuns;0.5710062980651855
nurse;women;man;[('nurses', 0.5995191335678101)];nurses;0.5995191335678101
painter;women;man;[('painters', 0.5658677220344543)];painters;0.5658677220344543
pharmacist;women;man;[('pharmacists', 0.5766830444335938)];pharmacists;0.5766830444335938
photographer;women;man;[('photographers', 0.5612314939498901)];photographers;0.5612314939498901
physicist;women;man;[('physicists', 0.5464624166488647)];physicists;0.5464624166488647
plumber;women;man;[('plumbers', 0.5061167478561401)];plumbers;0.5061167478561401
politician;women;man;[('politicians', 0.5089282989501953)];politicians;0.5089282989501953
porter;women;man;[('porters', 0.5485156774520874)];porters;0.5485156774520874
postman;women;man;[('postmen', 0.602392852306366)];postmen;0.602392852306366
priest;women;man;[('priests', 0.6615301370620728)];priests;0.6615301370620728
professor;women;man;[('associate_professor', 0.6430940628051758)];associate_professor;0.6430940628051758
programmer;women;man;[('programmers', 0.5312799215316772)];programmers;0.5312799215316772
psychiatrist;women;man;[('psychiatrists', 0.5833556652069092)];psychiatrists;0.5833556652069092
psychologist;women;man;[('psychologists', 0.599242091178894)];psychologists;0.599242091178894
receptionist;women;man;[('receptionists', 0.4859691262245178)];receptionists;0.4859691262245178
researcher;women;man;[('Researcher', 0.5366194844245911)];Researcher;0.5366194844245911
sailor;women;man;[('sailors', 0.6207904815673828)];sailors;0.6207904815673828
salesman;women;man;[('saleswomen', 0.5092794299125671)];saleswomen;0.5092794299125671
scientist;women;man;[('researcher', 0.5691506862640381)];researcher;0.5691506862640381
secretary;women;man;[('secretaries', 0.5225568413734436)];secretaries;0.5225568413734436
shoemaker;women;man;[('sportswear', 0.508173942565918)];sportswear;0.508173942565918
singer;women;man;[('singers', 0.4988645315170288)];singers;0.4988645315170288
sportsman;women;man;[('sportsmen', 0.5676917433738708)];sportsmen;0.5676917433738708
surgeon;women;man;[('surgeons', 0.6329662799835205)];surgeons;0.6329662799835205
teacher;women;man;[('teachers', 0.587346076965332)];teachers;0.587346076965332
vet;women;man;[('vets', 0.5670331716537476)];vets;0.5670331716537476
waiter;women;man;[('waiters', 0.5714064836502075)];waiters;0.5714064836502075
waitress;women;man;[('waitresses', 0.5646171569824219)];waitresses;0.5646171569824219
writer;women;man;[('writers', 0.5318374633789062)];writers;0.5318374633789062
red;women;man;[('pink', 0.5049034953117371)];pink;0.5049034953117371
orange;women;man;[('pink', 0.4835864305496216)];pink;0.4835864305496216
yellow;women;man;[('pink', 0.501471757888794)];pink;0.5014717578887941
pink;women;man;[('dresses_skirts', 0.5193066000938416)];dresses_skirts;0.5193066000938416
fuchsia;women;man;[('dresses_skirts', 0.5601235032081604)];dresses_skirts;0.5601235032081604
violet;women;man;[('tiered_skirts', 0.4738825261592865)];tiered_skirts;0.4738825261592865
blue;women;man;[('pink', 0.5251724123954773)];pink;0.5251724123954773
navy;women;man;[('armed_forces', 0.4795052409172058)];armed_forces;0.4795052409172058
lime;women;man;[('Lipsticks', 0.4291977286338806)];Lipsticks;0.4291977286338806
green;women;man;[('womens', 0.4288569688796997)];womens;0.4288569688796997
olive;women;man;[('Women', 0.43738704919815063)];Women;0.4373870491981505
brown;women;man;[('wraparound_skirts', 0.49726688861846924)];wraparound_skirts;0.4972668886184693
silver;women;man;[('gold', 0.5993744134902954)];gold;0.5993744134902954
gray;women;man;[('strappy_tops', 0.4521482288837433)];strappy_tops;0.4521482288837433
black;women;man;[('nonblack', 0.5093583464622498)];nonblack;0.5093583464622498
ivory;women;man;[('elephant_ivory', 0.47595110535621643)];elephant_ivory;0.4759511053562164
white;women;man;[('black', 0.5571805238723755)];black;0.5571805238723755
king;mother;father;[('queen', 0.7078924179077148)];queen;0.7078924179077148
good;mother;father;[('bad', 0.6180967092514038)];bad;0.6180967092514038
kind;mother;father;[('sort', 0.6617735624313354)];sort;0.6617735624313354
bad;mother;father;[('horrible', 0.604311466217041)];horrible;0.604311466217041
worst;mother;father;[('weakest', 0.5273836851119995)];weakest;0.5273836851119995
flirt;mother;father;[('flirting', 0.6393416523933411)];flirting;0.6393416523933411
womanizer;mother;father;[('floozy', 0.5962602496147156)];floozy;0.5962602496147156
boss;mother;father;[('bosses', 0.5668310523033142)];bosses;0.5668310523033142
father;mother;father;[('daughter', 0.8706234693527222)];daughter;0.8706234693527222
grandfather;mother;father;[('grandmother', 0.873613715171814)];grandmother;0.8736137151718141
uncle;mother;father;[('aunt', 0.904949426651001)];aunt;0.904949426651001
brother;mother;father;[('sister', 0.8378643989562988)];sister;0.8378643989562988
nephew;mother;father;[('niece', 0.8544496893882751)];niece;0.8544496893882751
husband;mother;father;[('wife', 0.7681347131729126)];wife;0.7681347131729126
cousin;mother;father;[('aunt', 0.7625963687896729)];aunt;0.7625963687896729
grandson;mother;father;[('granddaughter', 0.8729616403579712)];granddaughter;0.8729616403579712
son;mother;father;[('daughter', 0.906075119972229)];daughter;0.906075119972229
brave;mother;father;[('courageous', 0.6179341077804565)];courageous;0.6179341077804565
bright;mother;father;[('brighter', 0.5459284782409668)];brighter;0.5459284782409668
busy;mother;father;[('hectic', 0.588050365447998)];hectic;0.5880503654479979
calm;mother;father;[('Calm', 0.6175973415374756)];Calm;0.6175973415374756
cheap;mother;father;[('Cheap', 0.6628343462944031)];Cheap;0.6628343462944031
clever;mother;father;[('ingenious', 0.5608828067779541)];ingenious;0.5608828067779541
smart;mother;father;[('intelligent', 0.5664926767349243)];intelligent;0.5664926767349243
intelligent;mother;father;[('wheelchair_TAO', 0.5299261808395386)];wheelchair_TAO;0.5299261808395386
close;mother;father;[('closed', 0.47965216636657715)];closed;0.4796521663665772
far;mother;father;[('much', 0.4720078706741333)];much;0.4720078706741333
clumsy;mother;father;[('inelegant', 0.5313296318054199)];inelegant;0.5313296318054199
cool;mother;father;[('toasty', 0.5055378079414368)];toasty;0.5055378079414368
crazy;mother;father;[('mad', 0.6251071691513062)];mad;0.6251071691513062
creepy;mother;father;[('freaky', 0.6266829967498779)];freaky;0.6266829967498779
cruel;mother;father;[('Lupit_Filipino_word', 0.6114983558654785)];Lupit_Filipino_word;0.6114983558654785
crunchy;mother;father;[('crispy', 0.7097047567367554)];crispy;0.7097047567367554
curvy;mother;father;[('curvaceous', 0.6641824245452881)];curvaceous;0.6641824245452881
dark;mother;father;[('darkened', 0.5193600654602051)];darkened;0.5193600654602051
bright;mother;father;[('brighter', 0.5459284782409668)];brighter;0.5459284782409668
dull;mother;father;[('boring', 0.6325571537017822)];boring;0.6325571537017822
dumb;mother;father;[('stupid', 0.6852952837944031)];stupid;0.6852952837944031
easy;mother;father;[('easier', 0.5565906763076782)];easier;0.5565906763076782
fancy;mother;father;[('frou_frou', 0.5543988943099976)];frou_frou;0.5543988943099976
slow;mother;father;[('Slow', 0.6186549663543701)];Slow;0.6186549663543701
fat;mother;father;[('fatty', 0.6311423182487488)];fatty;0.6311423182487488
firm;mother;father;[('firms', 0.5788566470146179)];firms;0.5788566470146179
fit;mother;father;[('fits', 0.6100687384605408)];fits;0.6100687384605408
fresh;mother;father;[('freshest', 0.4899829030036926)];freshest;0.4899829030036926
friendly;mother;father;[('freindly', 0.4988308548927307)];freindly;0.4988308548927307
hairy;mother;father;[('veiny', 0.5247311592102051)];veiny;0.5247311592102051
happy;mother;father;[('glad', 0.6282146573066711)];glad;0.6282146573066711
hard;mother;father;[('harder', 0.5683507323265076)];harder;0.5683507323265076
healthy;mother;father;[('heathy', 0.6050476431846619)];heathy;0.6050476431846619
heavy;mother;father;[('Heavy', 0.5999205112457275)];Heavy;0.5999205112457275
high;mother;father;[('low', 0.6757069230079651)];low;0.6757069230079651
hot;mother;father;[('Hot', 0.5721384286880493)];Hot;0.5721384286880493
sexy;mother;father;[('sassy', 0.6492118239402771)];sassy;0.6492118239402771
sensual;mother;father;[('sensuous', 0.7469769716262817)];sensuous;0.7469769716262817
horny;mother;father;[('slutty', 0.6163803339004517)];slutty;0.6163803339004517
hungry;mother;father;[('starving', 0.5741245746612549)];starving;0.5741245746612549
icy;mother;father;[('frigid', 0.6044012308120728)];frigid;0.6044012308120728
kind;mother;father;[('sort', 0.6617735624313354)];sort;0.6617735624313354
large;mother;father;[('small', 0.6388164758682251)];small;0.6388164758682251
lazy;mother;father;[('snots', 0.49976208806037903)];snots;0.499762088060379
light;mother;father;[('injuries_Fuellhardt', 0.47972217202186584)];injuries_Fuellhardt;0.4797221720218658
little;mother;father;[('bit', 0.6802504658699036)];bit;0.6802504658699036
lonely;mother;father;[('loneliness', 0.5542088747024536)];loneliness;0.5542088747024536
long;mother;father;[('short', 0.49570828676223755)];short;0.4957082867622376
lovely;mother;father;[('gorgeous', 0.7210178375244141)];gorgeous;0.7210178375244141
low;mother;father;[('high', 0.5942802429199219)];high;0.5942802429199219
mad;mother;father;[('crazy', 0.6209325790405273)];crazy;0.6209325790405273
mean;mother;father;[('means', 0.5356125235557556)];means;0.5356125235557556
messy;mother;father;[('messier', 0.5509897470474243)];messier;0.5509897470474243
nasty;mother;father;[('ugly', 0.5595630407333374)];ugly;0.5595630407333374
new;mother;father;[('newest', 0.4725438058376312)];newest;0.4725438058376312
nice;mother;father;[('lovely', 0.6441828012466431)];lovely;0.6441828012466431
noisy;mother;father;[('Noisy', 0.5943982005119324)];Noisy;0.5943982005119324
old;mother;father;[('yearold', 0.6161537170410156)];yearold;0.6161537170410156
plain;mother;father;[('tastes_yucky', 0.49385473132133484)];tastes_yucky;0.4938547313213349
polite;mother;father;[('everybody_Pendergrast', 0.6250725984573364)];everybody_Pendergrast;0.6250725984573364
poor;mother;father;[('poorer', 0.5709721446037292)];poorer;0.5709721446037292
pretty;mother;father;[('pretty_darn', 0.676661491394043)];pretty_darn;0.676661491394043
handsome;mother;father;[('gorgeous', 0.5676037669181824)];gorgeous;0.5676037669181824
proud;mother;father;[('immensely_proud', 0.6169840097427368)];immensely_proud;0.6169840097427368
pure;mother;father;[('pure_unadulterated', 0.5606051683425903)];pure_unadulterated;0.5606051683425903
quick;mother;father;[('swift', 0.4975566565990448)];swift;0.4975566565990448
rare;mother;father;[('rare_occurrence', 0.5741956233978271)];rare_occurrence;0.5741956233978271
rich;mother;father;[('friend_Francie_Vos', 0.5428969860076904)];friend_Francie_Vos;0.5428969860076904
risky;mother;father;[('riskier', 0.6682049632072449)];riskier;0.6682049632072449
roomy;mother;father;[('surprisingly_roomy', 0.6213418245315552)];surprisingly_roomy;0.6213418245315552
rude;mother;father;[('downright_rude', 0.6332420110702515)];downright_rude;0.6332420110702515
sad;mother;father;[('heartbreaking', 0.5907114744186401)];heartbreaking;0.5907114744186401
safe;mother;father;[('safer', 0.5767134428024292)];safer;0.5767134428024292
salty;mother;father;[('sweet_tang', 0.5629234313964844)];sweet_tang;0.5629234313964844
sane;mother;father;[('sane_rational', 0.5376155972480774)];sane_rational;0.5376155972480774
scary;mother;father;[('frightening', 0.7083830833435059)];frightening;0.7083830833435059
shallow;mother;father;[('Kurt_Suzuki_blooped', 0.6048071384429932)];Kurt_Suzuki_blooped;0.6048071384429932
shiny;mother;father;[('sparkly', 0.6181720495223999)];sparkly;0.6181720495223999
short;mother;father;[('Short', 0.5335477590560913)];Short;0.5335477590560913
shy;mother;father;[('Tayseer_matchmaker_Nisrin_Khalil', 0.4691218435764313)];Tayseer_matchmaker_Nisrin_Khalil;0.4691218435764313
silly;mother;father;[('stupid', 0.6416597962379456)];stupid;0.6416597962379456
simple;mother;father;[('Simple', 0.6378748416900635)];Simple;0.6378748416900635
sincere;mother;father;[('heartfelt', 0.5946840643882751)];heartfelt;0.5946840643882751
sleepy;mother;father;[('sleepier', 0.4995235800743103)];sleepier;0.4995235800743103
slim;mother;father;[('slender', 0.6032183170318604)];slender;0.6032183170318604
slimy;mother;father;[('slimey', 0.5884766578674316)];slimey;0.5884766578674316
slow;mother;father;[('Slow', 0.6186549663543701)];Slow;0.6186549663543701
small;mother;father;[('tiny', 0.6427938938140869)];tiny;0.6427938938140869
smart;mother;father;[('intelligent', 0.5664926767349243)];intelligent;0.5664926767349243
smelly;mother;father;[('stinky', 0.7334128022193909)];stinky;0.7334128022193909
smooth;mother;father;[('smoothly', 0.5668755769729614)];smoothly;0.5668755769729614
soft;mother;father;[('softer', 0.5487183332443237)];softer;0.5487183332443237
stingy;mother;father;[('stingiest', 0.556879460811615)];stingiest;0.556879460811615
strange;mother;father;[('weird', 0.7054286599159241)];weird;0.7054286599159241
strict;mother;father;[('stringent', 0.6102237701416016)];stringent;0.6102237701416016
strong;mother;father;[('solid', 0.5711101293563843)];solid;0.5711101293563843
sunny;mother;father;[('sunshine', 0.6394906044006348)];sunshine;0.6394906044006348
tasty;mother;father;[('delicious', 0.7809520959854126)];delicious;0.7809520959854126
thin;mother;father;[('Thin', 0.592211902141571)];Thin;0.592211902141571
tiny;mother;father;[('teeny', 0.6295820474624634)];teeny;0.6295820474624634
ugly;mother;father;[('uglier', 0.5759838819503784)];uglier;0.5759838819503784
warm;mother;father;[('Warm', 0.604460597038269)];Warm;0.604460597038269
weak;mother;father;[('weaker', 0.6220005750656128)];weaker;0.6220005750656128
weird;mother;father;[('freaky', 0.6898128986358643)];freaky;0.6898128986358643
wet;mother;father;[('dry', 0.5867965221405029)];dry;0.5867965221405029
wide;mother;father;[('across', 0.46546605229377747)];across;0.4654660522937775
narrow;mother;father;[('narrowing', 0.5393288135528564)];narrowing;0.5393288135528564
wild;mother;father;[('type_KRAS_mCRC', 0.545478343963623)];type_KRAS_mCRC;0.5454783439636229
